Distance_(microns);mito;actin
24.5785;1.323484709;4.860706013
24.6444;1.323596325;4.475528438
24.7103;1.323701217;4.535775344
24.7762;1.303527022;5.026284483
24.8421;1.267789839;5.424745667
24.908;1.200617383;5.233292535
24.9739;1.109151712;4.782848038
25.0398;1.065644465;4.418137817
25.1057;1.10705791;4.194938771
25.1716;1.179805769;4.055249755
25.2374;1.266662925;4.062585459
25.3033;1.361269972;4.313580839
25.3692;1.422111265;4.611261149
25.4351;1.398316958;4.766186375
25.501;1.298757134;4.619605429
25.5669;1.185035568;4.585358248
25.6328;1.131412984;4.717695422
25.6987;1.100191529;4.939245784
25.7646;1.058187732;5.05238641
25.8305;1.027945267;5.194056268
25.8964;1.06841603;5.55668748
25.9623;1.133223041;5.828836045
26.0282;1.192933385;5.87976775
26.0941;1.178896707;5.90366157
26.16;1.105023277;6.131873907
26.2259;1.057559726;6.452615627
26.2918;1.196245546;6.580646858
26.3576;1.461729445;6.602473771
26.4235;1.551008526;6.357197685
26.4894;1.366119202;5.89607036
26.5553;1.089312364;5.184343016
26.6212;0.924118498;4.658333373
26.6871;0.849977459;4.354020672
26.753;0.867252336;4.197188566
26.8189;0.906515498;4.000428984
26.8848;0.862790399;3.669625717
26.9507;0.707164549;3.128014087
27.0166;0.526496449;2.527454597
27.0825;0.400680049;2.062170597
27.1484;0.364321584;1.856390317
27.2143;0.376506518;1.772768671
27.2802;0.358752904;1.712388634
27.3461;0.322172552;1.634059991
27.412;0.269395827;1.538479332
27.4778;0.229175191;1.476392785
27.5437;0.203652858;1.416537206
27.6096;0.189327055;1.344078471
27.6755;0.179206339;1.292037333
27.7414;0.17311051;1.226543146
27.8073;0.174806261;1.165703198
27.8732;0.16110712;1.06939502
27.9391;0.155761671;0.990892902
28.005;0.15320258;0.90794364
28.0709;0.152597434;0.834258478
28.1368;0.164708406;0.812365671
28.2027;0.176215577;0.789735932
28.2686;0.177331734;0.763104167
28.3345;0.181012361;0.748642542
28.4004;0.18508566;0.724295536
28.4663;0.177751301;0.736464332
28.5322;0.165964418;0.737737827
28.598;0.169763385;0.721369323
28.6639;0.17513304;0.697829177
28.7298;0.173617487;0.684224169
28.7957;0.174728265;0.703416684
28.8616;0.182440503;0.72787665
28.9275;0.18878108;0.760480526
28.9934;0.18289369;0.781605471
29.0593;0.169119242;0.773542248
29.1252;0.161168979;0.798615428
29.1911;0.161493068;0.861912266
29.257;0.179698524;0.959822061
29.3229;0.189691487;1.03421995
29.3888;0.193138125;1.0905751
29.4547;0.187178118;1.116102812
29.5206;0.186765274;1.186231066
29.5865;0.19310585;1.250855189
29.6524;0.199934577;1.287404611
29.7182;0.210429139;1.316829457
29.7841;0.218816451;1.444345642
29.85;0.231255545;1.751339809
29.9159;0.293967409;2.213466297
29.9818;0.39242049;2.506053975
30.0477;0.39242049;2.506053975
